SAMPLE ID,00_ctr-2,03_ctr-n3,14_ctr-6,83_ctr-n1,28_als-n1,30_als-n1,29_als-n1,52_als-n6
A1BG,4.3121,4.05842,3.80085,5.5769,3.46351,4.26213,3.30168,3.96776
A1BG-AS1,2.02934,0.428629,2.12189,1.78832,1.82886,0.9839,1.77321,1.43279
A1CF,0.012644,0.00912768,0.00363027,0,0,0.00266105,0.00388256,0.00600042
A2M,64.2731,5.1174,53.9204,56.9353,9.16038,2.71776,21.935,16.553
A2M-AS1,1.13916,0.0130586,1.71603,0.177816,2.59296,0.0808568,1.39493,0.602841
A2ML1,0.283965,0.0919839,0.0564711,0.118209,0.449342,0.189312,0.228227,0.18188
A2MP1,0.0245801,0.0236591,0,0,0,0.0206925,0,0
A4GALT,1.35468,0.0950775,0.340329,1.21841,0.432232,0.213829,0.779957,0.254475
A4GNT,0.0500069,0,0,0.0359812,0,0.0140326,0,0
AAAS,32.13,22.046,24.7002,22.5446,26.8275,21.4158,28.638,29.1654
AACS,7.68908,11.6448,9.23891,9.54592,8.53957,4.52733,8.41793,8.96003
AACSP1,0.230949,0.0392286,0.187224,1.61286,0.0756582,0,0.13349,0.0773651
AADAC,0,0,0,0,0.0255924,0,0.0225774,0
AADACL4,0,0,0,0.0404588,0.0260961,0.0157789,0.0230218,0
AADAT,8.51711,4.89663,8.18872,5.40074,9.04248,6.37148,8.67074,9.9181
AAED1,2.19297,1.83245,1.79895,1.61257,1.64405,1.56211,1.24318,1.66971
AAGAB,20.0264,10.3871,18.8166,14.9955,18.492,9.96688,18.3145,19.2637
AAK1,2.95031,4.18714,3.17623,3.0078,3.23493,5.12478,2.81863,3.11941
AAMP,41.4245,36.1482,41.618,39.4135,48.5285,37.0766,45.3191,50.6312
AANAT,0.230181,0.332334,0.330441,0.627032,0.240359,0.242219,0.708841,0.413474
AAR2,14.8106,7.75041,15.6644,14.1312,17.189,10.6373,15.6297,16.2271
AARD,0.135903,0.113631,0.444329,0.324706,0.351762,0.32082,0.347834,0.16106
AARS,65.2034,86.9177,55.8328,69.4203,62.0453,96.0179,54.5083,63.4367
AARS2,6.13659,2.4318,4.60663,4.79467,6.64805,3.56695,6.00431,6.01902
AARSD1,16.1669,20.3231,18.0694,14.0831,19.1951,14.1612,17.1933,19.9395
AASDH,5.17297,2.46563,3.47506,4.11576,4.06281,3.4336,4.58206,4.02858
AASDHPPT,27.9634,17.4809,38.0641,21.8196,36.2003,24.6717,35.3871,37.8071
AASS,12.0037,2.44602,3.76801,5.66142,4.57996,3.2093,5.03286,3.60901
AATF,19.4553,19.2041,19.4298,15.5958,19.562,17.6666,23.0326,21.083
AATK,3.47183,2.5363,4.6619,2.38419,4.56492,4.00025,4.87385,2.97376
AATK-AS1,0.149756,0.0360363,0.107493,0.121223,0.104252,0.0472765,0.160948,0.0710693
ABAT,99.7339,73.8642,111.393,52.7892,105.009,92.391,98.5344,94.9733
ABCA1,11.7779,6.97783,6.44039,6.50454,5.22866,9.23597,4.04301,5.6401
ABCA10,0.107839,0.0269837,0.0645713,0.0607406,0.0652396,0.0592458,0.0808785,0.102415
ABCA11P,4.13148,2.18803,3.28209,3.43728,3.9196,2.4904,3.24349,3.52958
ABCA12,0.0292005,0.0468464,0.104798,0.0669708,0.147485,0.0614552,0.0758557,0.0554302
ABCA13,0.124019,0.0382014,0.127465,0.0593764,0.0877897,0.0579845,0.0912131,0.0491076
ABCA17P,0.0706546,0.0408082,0.08116,0.1828,0.137705,0.0475983,0.095388,0.0670058
ABCA2,16.6665,14.1716,17.9267,16.0315,15.8534,22.3067,15.6812,12.4991
ABCA3,17.9584,13.8576,28.5128,19.3004,26.2195,22.3601,21.7895,21.7874
ABCA4,0.0322411,0.0232747,0.0185137,0.108742,0.0168333,0.0407127,0.00495008,0.0153005
ABCA5,2.29269,0.890849,1.398,1.05003,1.8975,1.84904,1.36072,1.12208
ABCA6,0.0111483,0,0,0.00601611,0,0.00469254,0.00684655,0.0105812
ABCA7,3.50716,4.75521,3.47088,2.21038,3.18297,6.45167,3.51532,2.31369
ABCA8,0.407716,0.208639,0.669766,0.155964,0.539955,0.0999281,0.876991,0.768679
ABCA9,0.26379,0.414614,0.298842,0.219084,0.215359,0.373265,0.243794,0.210954
ABCB1,1.9454,0.230315,1.35418,0.870098,0.546261,1.01222,0.210326,0.362947
ABCB10,3.12275,1.68705,4.11374,4.01467,3.67642,2.40978,3.70396,4.78002
ABCB11,0.00618235,0,0.00710015,0.0133451,0.0172152,0.0312273,0.0151872,0
ABCB4,0.934783,0.145577,0.474348,0.232879,0.258997,0.239921,0.0999966,0.169609
ABCB5,0.128077,0.0883453,0.143292,0.146962,0.0795724,0.145011,0.114419,0.0510432
ABCB6,20.0326,11.2698,13.3344,18.7811,19.6654,13.1175,15.5826,16.0799
ABCB7,9.21364,14.6894,6.32046,6.68727,6.80144,10.0885,7.06351,7.28942
ABCB8,7.05396,3.28864,6.20437,4.78294,6.35434,4.55853,5.79933,5.31303
ABCB9,2.95952,3.43,4.32891,3.31171,4.78297,3.54313,3.75095,4.00579
ABCC1,9.28848,4.58062,7.60407,9.22391,7.40237,5.55121,7.40877,6.15199
ABCC10,5.68588,3.43237,4.21903,4.0572,4.70122,4.3645,4.18464,3.76927
ABCC11,0.141579,0.068137,0.14343,0.070943,0.146427,0.0553353,0.0645886,0.244236
ABCC12,0,0.00549818,0,0.00616512,0,0,0,0.00542165
ABCC13,0.0107533,0.0101553,0,0.0113167,6.84E-09,7.65E-34,0,0
ABCC2,0.0818235,0.202519,0.073834,0.0630792,0.0650981,0.142684,0.0789651,0.105397
ABCC3,0.017157,0.0789771,0.0719432,0.0845128,0.00795612,0.00481063,0.0772073,0.0696386
ABCC4,5.45867,1.065,1.67688,4.52049,1.89888,0.959783,2.40666,2.06203
ABCC5,9.0043,13.2615,8.83019,4.92208,9.74579,13.8863,9.01298,9.83959
ABCC5-AS1,0,0.0605855,0,0,0,0,0,0
ABCC6,1.06861,0.427307,2.01016,0.808865,1.11824,0.269117,1.21131,0.847009
ABCC6P1,0.0891012,0.0257976,0.216828,0.487428,0.116105,0.014307,0.151195,0.105571
ABCC6P2,0.846935,0.0822801,1.02172,1.04664,0.625842,0.169315,0.780086,0.525052
ABCC8,0.456628,0.98749,0.715114,0.332822,0.487139,0.983484,0.633701,0.399629
ABCC9,4.60659,4.52529,4.2428,4.96991,3.9229,4.91747,3.82146,3.45686
ABCD1,3.52895,0.822038,3.54392,3.66962,2.82684,1.57358,2.58288,2.52355
ABCD2,0.76828,0.0904415,0.882334,0.411614,0.800326,0.269874,0.753564,0.750183
ABCD3,24.2122,6.57643,24.478,19.011,23.4403,6.90294,22.2701,21.7328
ABCD4,12.3205,11.3261,9.18157,8.37978,10.9117,11.0547,10.7613,9.74027
ABCE1,13.8705,9.26678,15.0486,12.2427,14.0349,10.3476,14.1664,18.0049
ABCF1,32.1373,13.9174,29.5811,25.4919,30.1654,18.8821,30.3863,32.7791
ABCF2,18.8804,11.3278,19.1216,17.0233,22.4447,13.8362,20.7738,22.5651
ABCF3,12.7862,8.0206,11.8503,11.6197,13.2157,9.78801,12.1945,12.7894
ABCG1,6.93926,9.73338,4.26121,4.98072,5.84057,17.6728,7.38729,6.99747
ABCG2,0.129031,0.0198317,0.0552123,0.119202,0.103348,0.017345,0.0763169,0.0655252
ABCG4,0.774587,1.40935,1.82658,0.642236,1.70254,3.01785,1.21231,1.37814
ABCG5,0.021548,0,0.0371203,0.0232564,0,0,0.0132333,0
ABCG8,0,0.0106621,0.038165,0,0,0.00932521,0,0.0210274
ABHD1,0.167084,0.180465,0.0239278,0.0677718,0.232906,0.211502,0.179176,0.118255
ABHD10,14.124,13.6162,19.67,13.7736,20.9237,15.0858,19.7068,22.5615
ABHD11,7.13757,2.19156,4.92979,6.39894,7.37197,3.09371,5.39187,5.79052
ABHD11-AS1,0.187235,0.120146,0.143354,0.13472,0.086895,0.0525406,0.153316,0
ABHD12,28.9797,23.957,34.2429,27.5759,36.7657,21.15,31.1081,33.4682
ABHD12B,0.0229375,0.0825173,0.0459032,0.0215693,0.0834736,0.0168677,0.0245466,0.0639972
ABHD13,3.34628,2.13297,3.47217,3.17892,3.69772,2.27331,3.43308,4.2964
ABHD14A,21.635,12.8837,19.4475,20.3004,25.7147,13.2217,22.4015,21.786
ABHD14A-ACY1,0.528966,0.243653,0.806588,0.823298,1.13207,0.957952,1.30531,1.77965
ABHD14B,4.46621,1.8756,2.63207,9.29829,2.34849,1.4044,2.06717,1.6869
ABHD15,7.11014,0.749392,2.90896,4.17382,5.09978,1.34486,2.63094,2.35252
ABHD16A,2.08491,2.08007,2.87964,1.85536,2.88094,2.39809,2.68813,3.48239
ABHD16B,3.65685,0.687966,3.60794,3.58799,5.32281,1.46927,3.81785,3.9599
ABHD2,13.1967,4.80618,11.3979,10.5209,11.16,9.3284,11.3125,10.953
ABHD3,5.3349,3.31779,4.73068,4.24509,3.56451,2.05893,6.57025,5.90518
ABHD4,20.8257,11.0533,16.2152,20.8387,14.8417,16.9475,12.0961,11.6588
ABHD5,3.31991,1.99056,4.08511,3.23196,4.56852,2.50699,3.96936,4.83647
ABHD6,6.48889,1.63862,5.18537,9.78607,6.13171,4.30984,6.31849,5.52654
ABHD8,10.2546,9.72078,12.7015,13.5372,13.9627,11.3914,12.179,13.4465
ABI1,15.436,12.4752,13.5387,12.1935,14.6656,13.3946,12.8921,13.4351
ABI2,41.6969,42.8286,38.3872,33.2823,42.3146,40.2106,41.3627,43.7984
ABI3,0.0140702,0.013543,0.016159,0,0.0195898,0,0.017282,0.0133545
ABI3BP,0.362987,1.18156,0.242545,1.36762,0.229719,0.638932,0.259401,0.206713
ABL1,24.3589,17.4098,23.9411,29.2489,23.4294,20.1224,26.2672,26.552
ABL2,3.47481,4.9843,3.45546,2.96106,3.23458,4.93893,3.90986,3.76785
ABLIM1,29.7024,8.60688,29.6162,32.657,29.6887,22.8414,29.7882,20.5843
ABLIM2,2.3122,2.18532,3.61646,1.47805,3.3406,3.74246,2.10663,2.44036
ABLIM3,2.2132,1.77632,7.99287,2.23433,7.33851,4.52318,4.73421,5.20954
ABO,0.130871,0.0179953,0.150299,0.0403563,0.02603,0.0786944,0,0.0177448
ABP1,0.0121585,0,0,0,0,0,0,0
ABR,37.5335,21.8481,38.3207,28.0623,40.2463,32.1947,41.7909,36.0212
ABRA,0,0,0.0123105,0,0,0,0.0263376,0
ABRACL,13.59,14.6949,13.2804,10.5953,14.6408,10.1171,15.5336,14.7888
ABT1,8.64881,6.4162,10.4571,9.78507,11.1517,6.57807,10.7032,13.2605
ABTB1,3.25772,1.35146,1.3555,2.87585,1.04978,2.44339,1.58546,1.00369
ABTB2,3.91964,4.32333,3.89994,4.11344,2.71606,5.388,2.61055,2.50303
ACAA1,13.0695,8.42874,12.0838,11.4889,13.2545,7.59833,11.7624,11.6666
ACAA2,25.9947,17.6746,23.8059,29.835,18.1279,11.0766,22.6105,23.9046
ACACA,17.0474,23.103,15.7633,14.3883,15.8424,24.0661,16.3056,17.7069
ACACB,2.74282,0.665173,0.961741,1.50628,1.53425,0.867199,1.1607,1.28541
ACAD10,6.73866,2.98633,4.5907,4.32243,5.02422,2.70901,4.52201,4.45513
ACAD11,10.4162,5.69719,6.53711,8.94925,9.2959,5.21035,7.95747,4.63064
ACAD8,11.253,4.95738,10.1817,7.20897,10.9989,6.07461,11.6142,9.89133
ACAD9,12.7796,3.39153,10.5789,10.2687,11.5337,4.17194,10.8103,10.2059
ACADL,0.201547,0.102703,0.245084,0.0767743,0.115546,0.0299418,0.101934,0.0900211
ACADM,13.9963,4.11901,14.5183,11.266,14.5843,4.01735,13.4055,16.6617
ACADS,3.91146,1.43778,4.06768,3.49028,4.39529,1.89272,3.66944,3.63941
ACADSB,4.46403,2.15351,4.3912,4.0043,4.9926,2.49157,3.99853,4.6472
ACADVL,74.3374,42.2863,48.874,56.7753,51.6418,44.9839,50.657,40.3049
ACAN,0.0103117,0.0160716,0.0355275,0.029678,0.0139484,0,0.00422183,0.0163119
ACAP1,1.67143,0.555149,1.01385,1.01631,1.63881,1.03053,1.02648,1.3518
ACAP2,5.20892,4.38677,4.06481,5.86096,3.94941,4.42391,3.81498,4.05483
ACAP3,19.8218,30.962,19.6889,13.782,20.0969,36.3817,22.0508,20.8261
ACAT1,14.1517,6.36465,20.5739,20.5292,18.9906,6.21875,15.2582,21.3622
ACAT2,37.1205,46.0557,47.5934,30.8586,45.2945,23.3925,52.3605,55.4814
ACBD3,13.2574,21.7912,14.8356,17.088,15.7834,17.072,15.1954,18.9964
ACBD4,3.43099,3.57396,3.54808,4.04311,2.8411,5.87492,3.14631,2.46133
ACBD5,16.3241,12.5642,14.28,13.4235,17.5424,11.6014,16.1761,16.319
ACBD6,30.1053,18.3394,31.4906,30.7572,33.5983,18.608,33.7014,32.6658
ACBD7,11.3007,10.3272,6.93341,5.8963,7.96211,8.31715,7.45344,9.3977
ACCS,0.638754,0.0302734,0.0780102,0.0509185,0.0567437,0,0.450631,0.014926
ACCSL,0.0162202,0.0312248,0,0,0.0451663,0.0409643,0,0
ACD,12.7996,11.8906,12.4339,12.5846,15.1278,12.8657,14.7378,16.2352
ACE,0.203405,0.125804,0.382091,0.257093,0.339215,0.341702,0.147568,0.219913
ACE2,0.0336706,0,0.096673,0.0635954,0.0234396,0.0850357,0,0.0559263
ACER1,0.027133,0,0.031161,0.0878529,0.037777,0.0228416,0.0333266,0.0257528
ACER2,1.69755,0.637634,1.73558,1.24004,1.75819,1.50748,2.03418,1.33611
ACER3,5.92164,3.12191,7.66341,5.57773,6.38022,3.80678,5.11615,6.06111
ACHE,4.42675,7.58344,19.256,4.96842,12.5272,16.8795,7.87143,8.00988
ACIN1,51.8348,39.0848,42.3659,34.3268,43.7374,31.3663,51.3122,43.469
ACLY,70.4256,55.4813,85.8862,64.0127,89.2283,59.7978,81.9447,82.6625
ACMSD,0,0.0245671,0,0,0.0328811,0,0,0.046458
ACN9,5.12343,5.12485,5.62032,4.78617,6.23414,4.37351,5.57023,6.85153
ACO1,14.0531,7.3439,14.2856,16.9454,12.7312,7.98504,13.306,12.5091
ACO2,68.0026,52.8531,76.4972,56.9644,82.4312,64.6101,76.1296,70.8122
ACOT1,0.217372,0.436996,0.967774,0.715127,0.586732,0.519274,0.209222,0.226907
ACOT11,0.310126,0.112741,0.48509,0.297834,0.148337,0.0986668,0.435752,0.172399
ACOT12,0.118736,0.0428576,0.0681814,0.0320375,0.061993,0.0499783,0.145839,0.0563481
ACOT13,7.00608,4.6867,8.32958,6.66142,7.51332,4.90838,6.73597,7.48458
ACOT2,2.47072,0.527188,2.38183,2.31982,2.14559,1.01163,1.27331,3.15118
ACOT4,0.144709,0.0522327,0.166192,0.253797,0.226662,0.0152278,0.0444355,0.0858427
ACOT6,0.0588062,0,0,0.0634688,0.0409376,0.0247527,0,0
ACOT7,42.8916,81.1487,95.6112,41.4346,79.576,61.4932,75.6002,81.5611
ACOT8,10.1646,9.71076,11.7353,10.0459,17.0831,10.7842,13.2642,15.9455
ACOT9,7.20725,2.22242,5.13313,8.99272,4.38901,3.21562,5.84158,6.45946
ACOX1,10.8871,5.1923,8.41548,8.41134,9.96349,7.9206,8.51048,8.59902
ACOX2,0.779889,0.036918,0.660738,3.02193,0.231406,0.0538148,0.502512,0.266964
ACOX3,5.05967,1.7873,5.22956,5.08645,5.00508,2.02404,5.08083,5.67486
ACOXL,0.0373208,0.107767,0.0714354,0.0805596,0.103922,0.125672,0.0916798,0.0944596
ACP1,58.0943,40.7234,58.615,52.3567,62.6249,34.0272,58.3091,74.9933
ACP2,23.7289,5.73937,22.1442,18.7925,23.2263,10.8003,22.5985,20.2075
ACP5,0.128582,0.97824,0.320408,0.493813,0.417824,0.302099,0.0448871,1.26606
ACP6,3.51049,1.71305,3.60034,3.75357,5.04673,2.87279,2.76758,3.28542
ACPL2,18.6185,19.4806,23.5134,19.9077,22.5535,24.1694,25.3585,24.1431
ACPP,0.0691905,0.00883045,0.0421351,0.364832,0,0,0.0225459,0.0460083
ACPT,0.153411,0.0843789,0.0503389,0.0473071,0,0.202946,0.0538372,0.0416022
ACR,0.150836,0.0829623,0.247469,0.302334,0.210007,0.471638,0.1588,0.184067
ACRBP,0.500882,0.934096,0.43143,0.270297,0.479443,0.882854,0.55754,0.32684
ACRC,0.241516,0.464933,0.234698,0.290742,0.387992,0.547394,0.205371,0.317397
ACRV1,0.158537,0.175907,0.0604132,0.189813,0.169632,0.0512789,0.129224,0.262347
ACSBG1,1.15168,1.84276,3.00616,0.877802,2.23752,2.59584,1.85105,2.37991
ACSBG2,0.174164,0.0733415,0.125012,0.0587414,0.0909322,0.0366544,0.12033,0.123978
ACSF2,1.63491,1.00257,2.48331,3.77099,0.972921,0.266387,0.923083,1.16381
ACSF3,4.76388,2.16835,4.77068,4.18909,4.74474,3.09715,4.41038,4.72892
ACSL1,3.70076,2.95721,7.32416,8.01348,6.38394,6.98199,5.49846,6.33283
ACSL3,16.8844,17.0295,24.4301,17.4344,21.7112,16.0952,19.9543,25.5546
ACSL4,8.90142,18.547,30.7227,13.4496,14.7763,27.8944,11.8054,15.8461
ACSL5,0.0546665,0.0438484,0.031391,0.0295004,0.0887966,0.0843706,0.0335725,0.0259428
ACSL6,0.907972,0.966337,1.95208,0.879688,2.41798,1.58749,2.24392,1.95216
ACSM1,0.0143933,0.041562,0.0165301,0,0.0400793,0.0242337,0.0176789,0
ACSM2A,0,0.0383463,0.0228767,0.0214989,0.0138668,0.016769,0.0122332,0.00945313
ACSM2B,0,0.011754,0,0,0,0,0,0
ACSM3,0.0519289,0.133149,0.0577695,0.818199,0.0470308,0.0313901,0.0617206,0.125566
ACSM4,0,0.0163021,0,0.0182796,0,0,0,0
ACSM5,0.0244074,0,0,0,0,0,0,0
ACSS1,4.24656,2.00519,7.2676,1.29523,7.0961,5.14613,5.19614,6.53689
ACSS2,12.6116,11.3458,13.9668,12.6186,10.5992,6.08392,11.2049,9.33419
ACSS3,2.20081,2.37959,2.03442,0.724837,0.948597,1.74604,1.97257,1.37647
ACTA1,0.248698,0.261372,0.434348,7.6868,0.387797,0.495247,0.342282,0.286104
ACTA2,33.0356,9.54541,45.6347,453.03,26.4733,13.1665,25.1752,17.6907
ACTB,1743.38,1190.31,2506.81,2307.85,2246.11,1194.98,2233.53,2016.13
ACTBL2,0,0,0,0.0114035,0,0,0,0
ACTC1,0.0333516,0.0846397,0.102972,5.41857,0.03339,0.136334,0.0981876,0.094887
ACTG1,1752.91,2395.68,2106.4,2544.46,1990.79,1665.33,2126.95,1992.15
ACTG1P4,0.774172,1.00309,0.188074,0.32136,0.269474,1.42875,0.384,0.282608
ACTG2,5.35696,1.02505,8.34371,138.029,1.02793,0.248042,0.844309,2.44004
ACTL10,0.189235,0.0840668,0.267481,0.141396,0.466139,0.122543,0.232432,0.24869
ACTL6A,29.5316,20.194,24.8844,23.024,24.2196,13.6823,31.3236,36.4609
ACTL6B,17.8358,32.6461,34.169,15.0878,38.3899,32.5783,37.8935,41.6351
ACTL7A,0.0206007,0,0,0,0,0,0,0
ACTL7B,0,0,0.0240961,0,0,0,0.0257707,0
ACTL8,0.0158628,0.0763422,0,0,0.220856,0.0133539,0,0.0301118
ACTN1,28.5159,14.4493,30.0323,51.2784,19.0872,14.8256,22.1987,14.3641
ACTN2,0.560685,0.370243,0.479197,0.956965,0.408472,0.724475,0.312304,0.284646
ACTN3,0.0401916,0.148364,0.0230315,0.834624,0.0698034,0.0759712,0.0862122,0.0285513
ACTN4,61.3118,25.4171,46.0177,54.2469,42.8571,34.3571,43.1496,33.5255
ACTR10,15.7312,10.2387,22.3713,17.1006,20.1921,8.28594,18.0267,24.5058
ACTR1A,66.2136,71.5161,85.7552,61.427,81.1011,74.6935,81.9338,88.6604
ACTR1B,43.3006,30.6923,41.7259,37.2797,46.6713,36.4191,43.4534,41.222
ACTR2,56.2748,38.0401,60.3762,56.8291,56.4834,39.7851,55.0753,63.2212
ACTR3,52.6192,38.3052,54.4927,53.2314,53.9076,43.1056,57.424,61.0179
ACTR3B,9.13881,5.68735,11.1122,7.16201,11.7809,10.2908,8.01082,10.025
ACTR3BP2,0.0220633,0,0,0,0,0,0,0
ACTR3C,0.0691646,5.72E-25,2.82E-20,0.143002,4.34E-24,0.0307806,1.17E-22,0.0335171
ACTR5,3.69158,3.09477,2.9814,2.41627,3.18332,2.76687,3.13009,3.15342
ACTR6,9.83932,7.63976,10.7081,7.1595,12.2217,8.73154,11.4797,13.8624
ACTR8,10.8302,6.10898,12.3072,9.99399,11.8387,8.96661,14.3718,12.7893
ACTRT2,0,0.0199821,0,0,0,0,0,0.019704
ACTRT3,0.147383,0,0.101557,0.159068,0.0615597,0.0496289,0.0724101,0.0559542
ACVR1,6.73418,5.19837,9.83858,9.98131,8.23109,6.06713,7.3291,7.17624
ACVR1B,15.7807,23.4536,23.6096,11.4784,24.4773,25.4277,22.5788,22.9434
ACVR1C,0.0532463,0.0516615,0.100049,0.0362045,0.0388054,0.0818992,0.0170667,0.0483468
ACVR2A,9.42889,7.77984,9.99551,7.75291,9.40032,8.4037,11.4427,11.1459
ACVR2B,11.3932,21.3014,11.9625,6.00861,13.2689,22.9011,14.4341,18.0933
ACVR2B-AS1,0.678686,0.656666,0.665947,0.393319,0.931966,0.375384,0.691662,0.835765
ACVRL1,0.0359625,0.0342648,0.024689,0.0844846,0.0198379,0.0550789,0.0350258,0.0545751
ACY1,3.62888,1.72485,4.60629,5.29061,3.36786,1.00942,3.91373,2.3712
ACYP1,26.0833,31.009,20.9987,16.1151,23.9404,30.808,27.2973,24.9211
ACYP2,6.61922,3.55764,7.51864,2.63338,5.41515,4.08772,5.16295,7.45188
ADA,13.4886,3.44981,4.40388,11.6464,7.45834,5.64516,4.70993,3.80416
ADAD2,0,0,0,0,0,0.032359,0.0352226,0.013609
ADAL,4.04002,3.41805,5.89385,4.82376,5.42368,2.97451,6.19127,6.40239
ADAM10,22.5972,17.4019,21.3158,22.7256,20.5036,17.4664,23.148,23.7381
ADAM11,1.36136,3.69222,3.18083,1.64301,2.92247,3.75429,2.65232,1.77586
ADAM12,0.623768,0.316626,1.01147,1.15641,0.506257,0.597778,0.416843,0.465104
ADAM15,8.81387,5.20088,7.77507,11.1476,10.9387,8.83336,9.01314,4.48216
ADAM17,23.1231,8.90105,17.2904,14.9577,16.7506,13.9192,16.9203,16.1821
ADAM19,3.97649,2.17022,6.81099,4.23277,4.66124,3.19801,3.84916,3.67045
ADAM1A,2.21406,1.7609,2.22042,1.98572,2.48924,1.98639,2.4641,2.20995
ADAM20,0.0422933,0.244251,0.12143,0.0456466,0.0294422,0.16912,0.0779212,0.0301065
ADAM20P1,0.126406,0.692582,0.0670024,0.11544,0.148918,0.597554,0.131374,0.138434
ADAM21,0.0859006,0.161576,0.162247,0.0373447,0.254689,0.0505525,0.14972,0.223061
ADAM21P1,0.0612053,0.0950129,0.11998,0.0291948,0.0499924,0.0919474,2.16E-24,0.0245016
ADAM22,6.06182,4.59434,5.94434,5.50903,7.50435,6.42011,6.63057,6.49824
ADAM23,12.1374,3.37249,9.95977,9.37036,11.5892,7.4718,8.76168,4.91482
ADAM28,0.141508,0.0264732,0.189521,0.171893,0.180599,0.0463075,0.335024,0.200418
ADAM29,0.0279126,0.00895556,0.128225,0.0502094,0.168403,0.0548284,0.0457121,0.132464
ADAM32,0.227332,0.0833578,0.087027,0.0701019,0.105504,0.209604,0.0664821,0.0924722
ADAM33,0.0767841,0.0493189,0.117577,0.318803,0.0118784,0.00724266,0.0323331,0.0486084
ADAM3A,0,0.0118378,0.0141244,0,0,0,0,0
ADAM6,0,0.0154259,0,0,0,0,0.0393695,0
ADAM7,0.0086928,0,0,0,0,0,0,0.00825061
ADAM8,0.590554,0.817718,0.695716,0.402258,0.627184,1.16891,0.753644,0.447739
ADAM9,32.343,14.1998,40.0867,27.3829,34.4373,18.6402,28.1215,26.6155
ADAMTS1,3.17994,1.75949,2.77728,15.7902,1.58184,2.49532,2.31542,2.06031
ADAMTS10,7.36451,3.722,5.84124,6.61741,4.31676,5.5604,5.89632,4.50342
ADAMTS12,4.04018,1.93293,5.39276,5.76899,2.87062,0.948117,5.44549,3.08244
ADAMTS13,2.46094,2.49853,1.89814,1.64743,1.84066,3.77844,1.99517,1.62555
ADAMTS14,0.100977,0.0809947,0.19328,0.76938,0.0468631,0.0519484,0.0482722,0.0958407
ADAMTS15,6.24117,1.0663,10.7456,3.35116,3.11374,1.83892,2.55527,3.32221
ADAMTS16,1.82798,1.11967,6.74793,1.47328,2.09886,0.684496,4.97163,2.29831
ADAMTS17,0.0799442,0.113019,0.333262,0.52565,0.385619,0.148243,0.172837,0.217357
ADAMTS18,0.549177,0.0816925,0.533232,0.549612,0.465718,0.201739,0.435382,0.592319
ADAMTS19,0.0754116,0.128421,0.153227,0.281737,0.0565355,0.0195337,0.0641254,0.0495523
ADAMTS2,0.375397,1.68048,2.12886,2.47579,1.49683,1.73539,1.04065,0.571026
ADAMTS20,0.252314,0.33703,0.295685,0.311222,0.207908,0.138715,0.322558,0.288353
ADAMTS3,9.87743,5.39301,7.47711,5.67506,4.57466,4.34969,5.82317,4.3843
ADAMTS4,0.410686,0.270847,0.385224,0.741989,0.524655,0.333152,0.880273,0.633627
ADAMTS5,0.983719,0.564587,1.61394,1.99484,1.78646,0.786983,2.09383,1.38892
ADAMTS6,0.873274,0.375317,0.42449,0.504135,0.424133,0.738575,0.294345,0.3007
ADAMTS7,7.24307,10.4073,7.86132,13.1564,5.86948,11.3934,10.6532,5.37848
ADAMTS8,0.298189,0.597304,0.388735,1.93969,0.729344,0.101768,0.623625,0.405408
ADAMTS9,2.4466,0.831608,2.36006,5.74741,1.26474,0.458832,1.80007,1.39865
ADAMTS9-AS2,0.251748,0.0892738,0.19782,0.271708,0.110686,0.0780798,0.195293,0.150911
ADAMTSL1,5.84294,7.60519,4.23825,14.0599,3.93595,8.25045,8.02277,4.39866
ADAMTSL2,0.36589,0.209685,0.377928,3.82221,0.434079,0.244759,0.28321,0.421432
ADAMTSL3,0.0241478,0.0658552,0.0323548,0.334468,0.0392242,0.0745381,0.00988667,0.0267394
ADAMTSL4,0.730825,0.422274,0.829015,4.53334,0.469618,0.447015,0.53513,0.313472
ADAMTSL5,0.146349,0.181676,0.142487,0.556261,0.0453719,0.194056,0.026014,0.0908018
ADAP1,3.68691,5.75144,12.9948,4.06156,9.61155,9.02239,7.8234,8.62775
ADAP2,0.483242,0.237736,0.370654,0.197033,0.478444,0.235047,0.32975,0.244619
ADAR,44.7377,22.871,39.5244,37.7326,41.454,33.6017,40.8485,43.5464
ADARB1,5.2562,3.62306,5.92671,6.93006,4.94931,6.02691,5.35855,4.84577
ADARB2,0.364367,0.532816,0.921414,0.328974,0.512181,0.412917,0.641187,0.724918
ADARB2-AS1,0,0.176488,0.0526448,0,0,0,0,0
ADAT1,5.24506,2.59207,5.24783,4.08291,5.16461,4.05509,5.84333,4.63204
ADAT2,1.159,1.46084,0.677817,0.842065,0.766954,1.25738,0.826565,0.641541
ADAT3,2.62119,1.77411,1.82536,2.09276,2.62949,1.07848,1.95146,2.50885
ADC,2.80055,1.65383,4.92545,4.54119,2.76897,1.62869,2.74188,2.99195
ADCK1,5.20933,2.40972,4.32984,5.3651,5.08812,3.16558,5.1896,4.25139
ADCK2,5.40714,7.54838,9.25024,8.97616,8.32806,9.77668,6.54938,7.27737
ADCK3,8.76334,6.14159,4.60314,5.06686,6.08648,7.4963,6.51031,5.8932
ADCK4,17.2969,11.575,12.9061,12.5223,14.7181,11.5723,15.8341,14.2626
ADCK5,3.071,1.44898,3.31944,1.9172,2.76664,1.39403,2.82901,2.55758
