SAMPLE ID,00_ctr-2,03_ctr-n3,14_ctr-6,83_ctr-n1,28_als-n1,30_als-n1,29_als-n1,52_als-n6
GLRX5,22.5628,19.4607,23.6251,25.6577,25.7629,15.8321,22.7898,31.1296
GLS,5.63477,6.29271,8.02503,7.09312,7.29566,10.0139,4.93165,6.39919
GLS2,1.75571,3.1307,3.38644,1.59124,3.16526,3.15502,2.48825,2.09369
GLT1D1,0.358024,0.710104,2.87822,0,1.20842,1.21473,2.09214,1.42103
GLT25D1,15.8583,14.3033,14.0343,20.1284,12.8201,13.6458,15.0933,13.2471
GLT25D2,2.09642,5.36817,3.44135,5.85333,4.41788,8.2775,2.9808,3.98496
GLT6D1,0,0,0,0,0,0,0,0.0183611
GLT8D1,36.4926,16.9223,35.1955,38.1814,33.2618,19.1937,33.7454,36.2443
GLT8D2,0.770653,0.726638,1.64368,9.47182,1.44523,1.07245,1.12043,1.23899
GLTP,14.0705,7.42459,12.4007,17.7367,14.5873,8.76944,12.9354,10.5218
GLTPD1,8.80372,2.91531,11.2083,10.5478,12.1449,6.33475,11.2101,11.55
GLTPD2,0.942151,0.325535,1.19299,1.12114,1.14357,1.07786,0.97918,0.779581
GLTSCR1,3.06575,4.01042,3.19006,2.48162,2.85754,4.03586,3.14008,3.0758
GLTSCR2,92.4026,136.472,75.2687,99.0171,76.5587,69.379,84.5496,95.0476
GLUD1,48.5587,47.6315,52.3704,42.5067,55.4458,47.8514,52.6694,56.6771
GLUD1P3,1.25512,1.40362,0.933193,0.61076,0.949502,2.101,1.07825,0.87452
GLUD1P7,0.609834,0.455684,0.423905,0.337752,0.491563,0.722786,0.354807,0.5255
GLUD2,0.546577,0.124131,0.184346,0.117437,0.348379,0.150883,0.277703,0.346948
GLUL,62.2301,71.4641,52.2933,50.3018,51.6396,53.4683,59.2698,59.6912
GLYAT,0,0.0744487,0,0,0,0.0868182,0,0.0489419
GLYATL1,0.154287,0.0675027,0.161083,0.075711,0.0585851,0.0590386,0.189506,0.140362
GLYATL2,0.942607,0.226822,0.811906,1.01734,0.894804,0.829592,0.86833,1.05732
GLYCTK,45.9823,30.2943,7.70533,17.2882,13.5471,57.4859,13.5156,11.7322
GLYR1,26.0307,12.8672,29.8958,22.7342,29.3716,10.9803,27.6316,31.2456
GM140,0,0,0,0,0,0,0.139997,0
GM2A,13.0004,7.25688,11.1716,15.0041,11.2644,7.69374,8.66671,9.26974
GMCL1,5.13519,3.34035,4.66119,4.39503,4.16325,2.76885,4.5235,4.75457
GMCL1P1,0.211164,0.0798098,0.109724,0.0914219,0.131727,0.0987957,0.152914,0.171641
GMDS,4.18623,1.67054,5.25882,6.92972,3.30049,1.4679,3.11486,3.09004
GMEB1,7.93108,3.84667,5.83667,6.02662,7.45921,5.52743,7.44397,7.11267
GMEB2,5.44836,3.42865,4.38084,4.29863,4.84234,4.04357,5.52934,4.99152
GMFB,16.9825,8.40383,18.6077,13.4088,18.4831,9.40448,18.8812,20.7103
GMFG,0.134798,0.043249,0.309618,0.193981,0.437914,0.226956,0.275946,0.42647
GMIP,9.05683,8.63668,9.36026,4.91916,7.40923,11.426,12.0315,8.29339
GML,0,0,0,0,0,0,0.0501512,0
GMNC,0.285106,0.00784067,0.383563,0.0527505,0.544389,0.0205726,0.370198,0.270604
GMNN,19.1573,6.07979,17.2679,13.38,15.0728,5.04703,16.9759,18.9251
GMPPA,7.7426,4.56614,7.20819,13.5162,8.31862,4.74467,7.39814,7.10452
GMPPB,9.83325,4.25217,8.54995,9.32631,9.881,5.15008,10.2317,10.8545
GMPR,30.5145,1.55671,8.12335,8.1178,14.4058,4.8063,5.24145,4.73458
GMPR2,24.4873,30.767,22.6507,25.8476,28.3051,22.5239,27.9649,27.0922
GMPS,25.2777,33.6671,22.2662,25.4916,20.8017,20.7536,23.4741,24.5965
GNA11,20.6405,7.17917,27.4364,22.8549,26.7069,13.8479,26.055,25.2154
GNA12,27.5814,10.5518,30.5315,27.4353,29.6072,17.3123,29.9735,28.1789
GNA13,18.7761,22.7236,15.3158,16.2462,14.7837,15.4718,16.4032,17.9498
GNA14,0.154062,0.0912552,0.258595,0.127906,0.0494998,0.0299298,0.131005,0.0787369
GNA15,0,0,0.0318041,0.0149443,0.0578349,0,0,0
GNAI1,10.5351,14.6196,17.7098,8.9007,14.6187,11.3011,13.2913,13.471
GNAI2,212.253,104.06,145.97,165.579,151.484,98.0185,153.254,150.918
GNAI3,25.8643,22.4925,25.2096,25.8881,27.0082,19.6452,26.8048,30.9688
GNAL,4.67015,6.52705,11.5206,6.45282,7.97179,11.6512,5.09571,7.24656
GNAO1,16.8376,50.5893,41.3298,14.5937,47.0474,57.4352,39.6266,39.4266
GNAQ,29.104,27.9488,35.9257,25.2163,37.6949,34.0523,34.8394,35.0876
GNAS,716.812,878.55,930.509,690.803,880.89,908.481,843.958,789.563
